2025-08-22 23:34:13,533 | INFO | src.phase1_data | Loading Phase 1 inputs from JSON: inputs.json
2025-08-22 23:34:13,590 | DEBUG | runner | t=2025.75 CPC_Nuclear=1.500000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,590 | DEBUG | runner | t=2025.75 CPC_Semiconductors=0.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,591 | DEBUG | runner | t=2025.75 CPC_Aviation=0.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,591 | DEBUG | runner | t=2025.75 Silicon Carbide Fiber: CL=6.000000 TAM=50.000000 PC=1.500000 C=3.000000 Client_Creation=1.000000
2025-08-22 23:34:13,591 | DEBUG | runner | t=2025.75 Silicon Carbide Powder: CL=12.000000 TAM=50.000000 PC=3.000000 C=6.000000 Client_Creation=2.000000
2025-08-22 23:34:13,591 | DEBUG | runner | t=2026.00 step=4 created=1 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 1, 'Nuclear': 1, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,597 | DEBUG | runner | t=2026.25 step=5 created=0 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 2, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,602 | DEBUG | runner | t=2026.50 step=6 created=2 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 1, 'Nuclear': 1, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,609 | DEBUG | runner | t=2026.75 step=7 created=2 active={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 3, 'Nuclear': 1, 'Semiconductors': 0, 'Aviation': 0}
2025-08-22 23:34:13,616 | DEBUG | runner | t=2027.00 step=8 created=0 active={'Defense': 0, 'Nuclear': 1, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 1, 'Nuclear': 0, 'Semiconductors': 1, 'Aviation': 1}
2025-08-22 23:34:13,623 | DEBUG | runner | t=2027.25 step=9 created=1 active={'Defense': 1, 'Nuclear': 1, 'Semiconductors': 0, 'Aviation': 0} in_progress={'Defense': 2, 'Nuclear': 1, 'Semiconductors': 1, 'Aviation': 0}
2025-08-22 23:34:13,631 | DEBUG | runner | t=2027.50 step=10 created=1 active={'Defense': 1, 'Nuclear': 1, 'Semiconductors': 1, 'Aviation': 0} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 1, 'Aviation': 2}
2025-08-22 23:34:13,641 | DEBUG | runner | t=2027.75 step=11 created=1 active={'Defense': 2, 'Nuclear': 2, 'Semiconductors': 1, 'Aviation': 0} in_progress={'Defense': 1, 'Nuclear': 0, 'Semiconductors': 2, 'Aviation': 0}
2025-08-22 23:34:13,653 | DEBUG | runner | t=2028.00 step=12 created=0 active={'Defense': 2, 'Nuclear': 2, 'Semiconductors': 1, 'Aviation': 0} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 2, 'Aviation': 2}
2025-08-22 23:34:13,662 | DEBUG | runner | t=2028.25 step=13 created=1 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 2, 'Aviation': 1} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 2, 'Aviation': 0}
2025-08-22 23:34:13,673 | DEBUG | runner | t=2028.50 step=14 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 2, 'Aviation': 1} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 1}
2025-08-22 23:34:13,683 | DEBUG | runner | t=2028.50 Gateway Silicon Carbide Fiber: Defense=796.8624, Nuclear=840.9729 | sum=1637.8353
2025-08-22 23:34:13,683 | DEBUG | runner | t=2028.50 CPC_Defense=4.500000 ATAM_Defense=4.000000
2025-08-22 23:34:13,684 | DEBUG | runner | t=2028.50 CPC_Nuclear=4.000000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,684 | DEBUG | runner | t=2028.50 CPC_Semiconductors=5.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,684 | DEBUG | runner | t=2028.50 CPC_Aviation=4.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,684 | DEBUG | runner | t=2028.50 Silicon Carbide Fiber: CL=28.000000 TAM=50.000000 PC=2.000000 C=19.000000 Client_Creation=2.000000
2025-08-22 23:34:13,684 | DEBUG | runner | t=2028.50 Silicon Carbide Powder: CL=52.000000 TAM=50.000000 PC=1.000000 C=38.000000 Client_Creation=0.000000
2025-08-22 23:34:13,686 | DEBUG | runner | t=2028.75 step=15 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 2, 'Aviation': 2} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,698 | DEBUG | runner | t=2029.00 step=16 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 2} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,710 | DEBUG | runner | t=2029.25 step=17 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,722 | DEBUG | runner | t=2029.50 step=18 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,735 | DEBUG | runner | t=2029.75 step=19 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,749 | DEBUG | runner | t=2030.00 step=20 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,764 | DEBUG | runner | t=2030.25 step=21 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,779 | DEBUG | runner | t=2030.50 step=22 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,794 | DEBUG | runner | t=2030.75 step=23 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,811 | DEBUG | runner | t=2031.00 step=24 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,828 | DEBUG | runner | t=2031.25 step=25 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_Silicon_Carbide_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_Silicon_Carbide_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_Silicon_Carbide_Powder' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_Silicon_Carbide_Powder' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_Silicon_Nitride_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_Silicon_Nitride_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_UHT' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_UHT' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_Boron_fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_Boron_fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_B4C_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_B4C_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: capacity lookup 'max_capacity_lookup_WC_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,843 | WARNING | runner | Phase 15: price lookup 'Price_WC_Fiber' extrapolated above range at t=2031.25 (max=2031.00)
2025-08-22 23:34:13,846 | DEBUG | runner | t=2031.50 step=26 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,864 | DEBUG | runner | t=2031.75 step=27 created=0 active={'Defense': 3, 'Nuclear': 2, 'Semiconductors': 3, 'Aviation': 3} in_progress={'Defense': 0, 'Nuclear': 0, 'Semiconductors': 3, 'Aviation': 0}
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 Gateway Silicon Carbide Fiber: Defense=1188.1519, Nuclear=1087.8881 | sum=2276.0400
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 CPC_Defense=4.500000 ATAM_Defense=4.000000
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 CPC_Nuclear=4.000000 ATAM_Nuclear=4.000000
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 CPC_Semiconductors=5.000000 ATAM_Semiconductors=5.000000
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 CPC_Aviation=4.000000 ATAM_Aviation=4.000000
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 Silicon Carbide Fiber: CL=50.000000 TAM=50.000000 PC=0.500000 C=37.000000 Client_Creation=0.000000
2025-08-22 23:34:13,880 | DEBUG | runner | t=2031.75 Silicon Carbide Powder: CL=52.000000 TAM=50.000000 PC=1.000000 C=38.000000 Client_Creation=0.000000
2025-08-22 23:34:13,881 | INFO | runner | Completed 28 steps successfully.
2025-08-22 23:34:13,901 | INFO | runner | Wrote KPI CSV to /Users/thematrix/Desktop/Code/FFF_Growth_System_v2/output/FFF_Growth_System_Complete_Results.csv
2025-08-22 23:34:13,901 | INFO | runner | Also wrote suffixed KPI CSV to /Users/thematrix/Desktop/Code/FFF_Growth_System_v2/output/FFF_Growth_System_Complete_Results_baseline.csv
