Comments,Parameters,Silicon_Carbide_Fiber,Silicon_Carbide_Powder,Silicon_Nitride_Fiber,UHT,Boron_fiber,B4C_Fiber,WC_Fiber,AUF,,,,,,,,,,,,,,,,
year the material begins receiving other-client leads,lead_start_year,2026,2025,2028,,,,,,,,,,,,,,,,,,,,,
per quarter inbound leads for the material,inbound_lead_generation_rate (per quarter),1,2,1,,,,,,,,,,,,,,,,,,,,,
per quarter outbound leads for the material,outbound_lead_generation_rate (per quarter),2,4,2,,,,,,,,,,,,,,,,,,,,,
lead to client conversion,lead_to_c_conversion_rate (fraction),0.75,0.5,0.25,,,,,,,,,,,,,,,,,,,,,
lead-to-requirement delay for first order by a lead,lead_to_requirement_delay (quarters),1,1,1,,,,,,,,,,,,,,,,,,,,,
requirement-to-delivery delay for running requirements,requirement_to_fulfilment_delay (quarters),1,1,1,,,,,,,,,,,,,,,,,,,,,
starting order quantity,avg_order_quantity_initial (units per client),10,100,5,,,,,,,,,,,,,,,,,,,,,
percentage growth of order quantity per quarter,client_requirement_growth (per quarter growth),20,33,50,,,,,,,,,,,,,,,,,,,,,
total addressable market for other clients,TAM (clients),20,30,50,,,,,,,,,,,,,,,,,,,,,
